										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 09 02 11	0.87	3.89	5.65	18	0.48	41	0.61	4.55	9	0.25	7.5	24
2023 09 02 12	0.85	4.03	5.65	18	0.33	46	0.71	4.62	13	0.21	7.08	20
2023 09 02 13	0.83	4.05	5.65	17	0.37	40	0.61	4.61	15	0.29	6.77	358
2023 09 02 14	0.8	4.23	6.21	17	0.22	38	0.65	4.46	19	0.28	6.71	359
2023 09 02 15	0.78	4.3	6.21	16	0.22	31	0.67	4.81	20	0.27	6.71	359
2023 09 02 16	0.75	4.46	6.21	16	0.12	32	0.67	4.59	21	0.28	6.8	359
2023 09 02 17	0.73	4.55	6.21	16	0.1	24	0.65	4.6	21	0.27	6.81	359
2023 09 02 18	0.71	4.43	6.21	15	0.11	18	0.68	4.77	17	0.14	9.8	354
2023 09 02 19	0.72	4.12	6.21	14	0.18	12	0.58	4.65	5	0.34	4.92	44
2023 09 02 20	0.75	3.86	6.21	11	0.27	4	0.59	4.66	2	0.17	7.27	28
2023 09 02 21	0.79	3.9	5.65	9	0.22	2	0.72	4.46	8	0.18	6.48	42
2023 09 02 22	0.8	3.97	5.13	7	0.23	0	0.62	4.36	356	0.44	5.16	34
2023 09 02 23	0.81	4.08	5.13	6	0.17	357	0.63	4.27	355	0.44	5.09	33
2023 09 03 00	0.79	4.21	5.13	6	0.07	345	0.61	4.89	21	0.47	3.67	344
2023 09 03 01	0.77	4.21	5.65	6	0.12	353	0.59	5.15	20	0.45	3.76	344
2023 09 03 02	0.78	4.06	5.65	4	0.23	351	0.72	4.7	7	0.13	13.07	346
2023 09 03 03	0.78	4.07	5.65	3	0.16	349	0.74	4.45	5	0.19	12.96	346
2023 09 03 04	0.78	4.09	5.65	2	0.12	338	0.73	4.28	4	-9999.9	-9999.9	-9999.9
2023 09 03 05	0.75	4.24	5.65	2	0.0	180	0.67	3.89	0	-9999.9	-9999.9	-9999.9
2023 09 03 06	0.81	3.8	5.65	358	0.5	342	0.52	5.21	10	0.52	26.28	346
